제목,내용,작성자,created_at,이미지,URL
반소,"윤기완 교수님 렉노, 과제, 기출 삽니다.쪽지주세요.",익명,2025-05-04T16:52:00,이미지 없음,https://everytime.kr/420883/v/379044947
전기자기학1,"함자쿠르트 교수님 렉노, 과제, 기출 등 삽니다!쪽지주세요",익명,2025-05-03T20:26:00,이미지 없음,https://everytime.kr/420883/v/378994934
Ti nspire cx cas 2,본체 충전케이블 매뉴얼 라이센스코드 있습니다17에 판매합니다!,익명,2025-05-03T16:20:00,https://cf-ea.everytime.kr/attach/60/75530803/everytime-1746256827339.jpg?Expires=1746351204&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=M6nWMf3n6VEHVbt9cd5~96lPpz8T1fSPOuy5VIncuYCVlr1zFVTWpfPW9TvdQN4RNvwJLxaXE6ea1DZRq4zWC~5RYuoK2OU1tW2PJqdnM2LorNR63W8ssbq78Bhb073OkitBd~XhBm~AWrLl8h5URDqqvh0xx4iGRccXf2Mu~fLonkEgsvZvihZmCPMZ8wOugsgP7SELBrfohhNbZxpHxys47Ar9gGFSGXFp5r63KKhsuT6pSXRl-KBdQZSlor-2VuMR7Qm~am6dz27Fcj3xvAy9lnwIa8N5wimTlX1OhP1UN61ckESm-q-xiXltFyOI16HX1bexPpC9mqeOnTpeMg__,https://everytime.kr/420883/v/378979545
KBS 한국어능력시험 기출문제 20•21•22,"KBS 한국어능력시험 기출문제 20, 21, 22회 기출문제집•해설 세트입니다. 문제집은 펼쳐보기만 했고 해설지에 밑줄 가끔 그었습니다.회차당 19000원이고 가급적 한번에 사가실 분 구합니다. 모의 답안지 여러장 복사해놓은 것도 같이 드릴게요.1급 받고 졸업하니 관련 질문 해주셔도 괜찮습니다!",익명,2025-05-03T13:37:00,"https://cf-ea.everytime.kr/attach_thumbnail/582/75528160/everytime-1746247056730.jpg?Expires=1746351206&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=X-LmsXM-Jx~-uBTMR5ckV5FqN~rAG6ErcLEAAhjoUspJ4FKM4jDVW7j~3NDfvOSThffdAdSU7Isr7aQBZqxjQWGoIGPp7kd8fvv67XGw6WpOme2s2zoO9ItjjYs00366neFIC5F-0xn9VJAPigJA~zbfbMcINK3F~DVnsQmZpHhV7gklouIMZULBjw9v9Ced4icp15GcReUOPYYmo3hu6jHTEwdQVdI7aoHzdzWaiJlRWnSlSu97qPjI4j7t6Xjsb5CNdXdqYqgMoBqhnkvOVzPkgWf9X4ZgcFtQTIlRx1bYuctpe~0IzyBZX5kFgf2DXd8fwVtrvMWll6CQupBXrg__, https://cf-ea.everytime.kr/attach_thumbnail/465/75528161/everytime-1746247058010.jpg?Expires=1746351206&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=smZ0mF-i1ksM2bDyv8Qn8bueY7iWmDce2fEI~q6V6lSGKOiyNnGfESfQe~jHbeVd5d3PhSZdnim3BWcdydYH1bvfPdlbDAvBX~eyZ1mS2ZFzBlR-Z32sjhi0gYT9klx191aw8f6qNP~8FNofQona~91bsEU1mQWc~JNK1rPlx4tAw8WbTGVj-wDIGpITE3B9swE1i80TOzBxTOLOeSX7h26C5adCXoQ25w5ix5rx6-KibjMGn4KB39donTUGibePfVAsXl-u6VGfOf7HXQd4nHboEt9MqdjPk9js4bgq-ZO~mi9GV5yKcRqirlv9gdNaY1YLH7GGy-GiVNHcwr~n6g__",https://everytime.kr/420883/v/378969407
빌립니다) TI-84 계산기,0507-0512에 빌려주실 분 찾습니다.정말정말 급하게 꼭 필요합니다.크게 사례해드리겠습니다!,익명,2025-05-02T12:21:00,이미지 없음,https://everytime.kr/420883/v/378891938
아이폰 삽니다,기존 핸드폰 고장으로 인해 중고 아이폰 사고자 합니다.기종 용량 가격 흠집 등 쪽지로 제안 주세요!🥺,익명,2025-05-02T01:27:00,이미지 없음,https://everytime.kr/420883/v/378870254
반소 조병진 교수님 족보,삽니다. (렉노과제시험등)쪽지주세요.,익명,2025-05-01T19:17:00,이미지 없음,https://everytime.kr/420883/v/378835061
컴구개 ㅇㅁㅅ교수님 족보구합니다,쪽지주시면 구입하겠습니다,익명,2025-05-01T17:07:00,이미지 없음,https://everytime.kr/420883/v/378824207
한 번도 안 입은 흑청 팝니다,"개멍청하게 사이즈 잘못샀는데 환불 미루다가 구매 확정되서 팝니다10만원 좀 넘게 주고 샀는데 7만원에 팔아요사이즈는 30이고, 좀 크게 나왔습니다",익명,2025-04-30T15:27:00,"https://cf-ea.everytime.kr/attach_thumbnail/37/75474449/everytime-1745994426915.jpg?Expires=1746351217&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=a~VQXBMJlMNHq-BjXy71mMsF6BzkhJUHKoiiwhWPp0-MBVgMnrCFDauVlWOgmAjNaYGN8-ggKSxe2ejYUoEiTjN1g7i9hiWfFdoWLE5DoU5JioDAvqvAdTvmQXys1apy1bX1ClN2YklIzrtRTMykjEaOjUTzMFb93yYTwj7BCsRixStM~3frDhTpI3fXkoOiTFxkflrX2L3BEpkDkY6Ti-sNwVWOzHc-qZZwd36Px~~6y1Rf-3xPE1ncwTarUEeaGRZ0cji~zNrTN2zneoB4dp~TvgbtPkDa8OAfz3PzNFfJ0tMQ2AzcJH2GxkAGVMTtwnL62qo7D8iZwvxEwBozeQ__, https://cf-ea.everytime.kr/attach_thumbnail/94/75474448/everytime-1745994425931.jpg?Expires=1746351217&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=NG1Z-F1YajtLqcKBfqORLQcAVWC2tB3Jbc7o6W3M4SrQPNYYkaTjTtEMbBi2qEzzlp4SI4eXzVTObLuQPkQb9NMlQh7MiSQsUbh6XzkzU3YUMJ8nXlHWYyudInk~2cBWD3mUCg2VubY-F3h7jKzLBq5vdNrK-~o1lk0X7jlzg1s0yJeiwxsOBMBVDsSaKhzTyE-Hs2foTlWFqZ8SgDZojLLHWQPs-cJbeOHxcrf7CKsEgP0jVIcOzCRAjBcNKQANmD0L65VKlgGh4kXKtMU8B-RcLD4Y3hZWfOQV2xKDmC5LbQtGgxhiMCa6OxFNVEfNwhRx3Np6oWds1Dd~aMA-~g__, https://cf-ea.everytime.kr/attach_thumbnail/423/75474450/everytime-1745994427647.jpg?Expires=1746351217&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=MtVpnNm8WgknKw62Dn2KhF77rvQOM8DBdLabGPgRQYKWMR5qasOl8TnKegTH8Bl03i7wyYHpp~YIT0yoARel7NemF86aYmmSKxNTNXO3xPfFN7a1L056HquraqyWq7SE6lgD8ISR-Ba3fcvvurhpu5V79Fv2NJDUiooohXtGNgS3rcPJ-LgaDV4wZru-yHZyMp5pZPZJe1SBTo4X436OyikagcXjvDe-fjniyjcBzLwJWHyRaVJ0UXNL5ePKLRodKaCEVOc5uCiL4Y-wl8OWg4fMxgFJLUDGWOuF1g9fW~DC-~eK73ZLfPn7f8fjxImI5AH4cSCYiYiMsCjDZlglBw__",https://everytime.kr/420883/v/378713909
"KAIST 연구실 인턴 (남, 20대) 6월 초중순 ~ 8/31 단기 거주 공간(서브리스) 구합니다!","안녕하세요, KAIST 대학원 연구실에서 인턴으로 근무하게 되어 단기 거주 공간을 찾고 있습니다.- 희망 기간:      2025년 6월 초중순 ~ 2025년 8월 31일 (약 3개월, 정확한 시작 날짜 협의 가능)- 찾는 분:      여름방학/계절학기 등으로 위 기간 동안 잠시 자취방(원룸, 오피스텔 등)을 비우시는 분- 본인 소개:     - 20대 중반 남성, KAIST 연구실 인턴 (신분 증빙 가능)     - 비흡연자, 깔끔하고 조용하게 지내는 편입니다.     - 짐이 많지 않으며, 개인 생활용품(침구 등)은 소량 가져갈 예정입니다.     - 자차가 있어 주차 공간이 필요하며, 카이스트 기준 자차 20분 내외 거리라면 위치는 크게 상관 없습니다.- 희망 조건:     - 위치: 카이스트 기준 자차 20분 내외 거리 선호 (어은동, 궁동, 봉명동, 월평동, 상대동 등 위치 협의 가능)     - 형태: 원룸, 오피스텔 선호 (다른 형태도 문의 주세요)     - 예산: 월세는 최대 40만원까지 생각하고 있습니다. 관리비/공과금 포함 여부, 보증금 유무 등 세부 조건에 따라 협의하여 정하고 싶습니다. (더 낮은 금액도 상태/조건에 따라 환영합니다!)     - 기본적인 가구/가전(침대 프레임, 책상, 의자, 냉장고, 세탁기, 에어컨)이 구비되어 있으면 좋겠습니다.- 약속:      월세 및 관리비, 사용한 공과금은 약속된 날짜에 정확히 지불하겠습니다.혹시 위 기간 동안 집을 비우시거나 주변에 비슷한 조건의 정보가 있다면 편하게 연락 부탁드립니다. 계약 전 집 상 태 확인(방문 또는 영상통화) 가능하면 좋겠습니다.관심 있으신 분은 010-팔7공6-삼3이9로 연락 부탁드립니다.감사합니다!",익명,2025-04-30T09:30:00,이미지 없음,https://everytime.kr/420883/v/378684285
